D;UNIT;
78012;SIENA MONTALCINO;
78013;SIENA PIANCASTAGNAIO;
78014;SIENA SINALUNGA;
79001;SIRACUSA COM.PROV.;
80001;SONDRIO COM.PROV.;
81001;TARANTO COM.PROV.;
82001;TERAMO COM.PROV.;
83001;TERNI COM.PROV.;
84001;TORINO COM.PROV.;
84091;PIEMONTE DIR.REG.;
85001;TRAPANI COM.PROV.;
86001;TRENTO COM.PROV.;
87001;TREVISO COM.PROV.;
88001;TRIESTE COM.PROV.;
88091;FRIULI DIR.REG.;
89001;UDINE COM.PROV.;
90001;VARESE COM.PROV.;
91001;VENEZIA COM.PROV.;
92001;VERCELLI COM.PROV.;
93001;VERONA COM.PROV.;
94001;VICENZA COM.PROV.;
95001;VITERBO COM.PROV.;
99001;CENTRALE OPERATIVA ROMA;
b0001;BIELLA COM.PROV.;
b3001;LODI COM.PROV.;
b6001;VERBANIA COM.PROV.;
b4001;PRATO COM.PROV.;
b4010;VAIANO;
b4011;MONTEMURLO;
